id,text
use_limit_des_36_1,ES: REQUIRES
use_limit_des_36_2, ES: NEW BATTERIES
use_limit_des_41,ES: NEEDS A MATCH
use_limit_des_47,ES: CAN ONLY BE TAKEN AT BEDTIME
use_limit_des_76,ES: NEEDS HOT WATER
complex_1_1,ES: THE PIPES
complex_1_2,ES: UNDER THE WIRE MESH
complex_1_3, ES: AREN'T TOO CLOSE TOGETHER; I COULD FIT BETWEEN THEM.
complex_2,ES: ... RATTLE... RUMBLE... SCREECH...
complex_3_1,ES: UPGRADE YOUR CELL'S CUPBOARD TO INCREASE THE NUMBER OF STORAGE COMPARTMENTS TO
complex_3_2, ES: BLABLABLA.
complex_5_1,ES: THIS IS A TEST WITH
complex_5_2,ES: BOLD
complex_5_3, ES: AND
complex_5_4,ES: ITALIC
complex_5_5, ES: TEXT.
complex_6,ES: JUST A NORMAL SENTENCE.
