id,text
use_limit_des_36_1,Requires
use_limit_des_36_2, new batteries
use_limit_des_41,Needs a match
use_limit_des_47,Can only be taken at bedtime
use_limit_des_76,Needs hot water
complex_1_1,The pipes
complex_1_2,under the wire mesh
complex_1_3, aren't too close together; I could fit between them.
complex_2,... Rattle... rumble... screech...
complex_3_1,Upgrade your cell's cupboard to increase the number of storage compartments to
complex_3_2, blablabla.
complex_5_1,This is a test with
complex_5_2,bold
complex_5_3, and
complex_5_4,italic
complex_5_5, text.
complex_6,Just a normal sentence.
